objectid,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,blockid,st_areashape,st_perimetershape
1,1,0003,ALBEMARLE NUMBER 3,STANLY, ,84, ,43231281.4748985,40731.3507786253
2,2,0003,DREXEL 03,BURKE, ,12, ,108319906.647547,49918.849039536
3,22,0019,LINVILLE 01,BURKE, ,12, ,871805502.088099,160866.952809295
4,23,0019,RIDENHOUR,STANLY, ,84, ,899272261.409063,125698.778851241
5,71,007,007,MECKLENBURG, ,60, ,18523838.7405175,17915.4369724781
6,72,007,MT. CARMEL METHODIST CHURCH,UNION, ,90, ,528817773.632126,125576.598081704
7,73,007,SHOCCO,WARREN, ,93, ,999650555.665267,154360.169886646
8,74,0070,SALEM,BURKE, ,12, ,219117488.016132,67955.4572963847
9,75,008,WINGATE COMMUNITY CENTER,UNION, ,90, ,157351975.886238,73702.4844324675
10,3,0007,ALBEMARLE NUMBER 7,STANLY, ,84, ,100336729.921893,69303.4455712681
11,4,0008,ALBEMARLE NUMBER 8,STANLY, ,84, ,38853828.7572103,36109.4247228878
12,25,002,MONROE MIDDLE SCHOOL,UNION, ,90, ,40550331.835807,39298.760678654
13,5,001,RIVER,WARREN, ,93, ,965155960.326227,128209.670466835
14,36,0025,FURR NUMBER 2,STANLY, ,84, ,892844587.744562,151352.770293773
15,37,0026,TYSON,STANLY, ,84, ,1076118429.45279,171841.830993525
16,83,01,YORK CHESTER,GASTON, ,36, ,19675609.4212249,18348.7325886546
17,84,01,DANBURY,STOKES, ,85, ,873861127.7135,216051.716043948
18,85,01,ALLENDALE,HOKE, ,47, ,663586815.258834,139582.012605936
19,6,001,001,MECKLENBURG, ,60, ,17739583.6774623,27386.136259013
20,44,003,003,MECKLENBURG, ,60, ,26898662.3289276,26655.2935810056
21,45,0031,MORGANTON 01,BURKE, ,12, ,78350683.5532437,69989.1236384001
22,7,001,BENTON HEIGHTS CHURCH OF GOD,UNION, ,90, ,56188875.7454894,47977.4732873129
23,8,0010,ALBEMARLE NUMBER 10,STANLY, ,84, ,79119257.1989969,87245.0749546113
24,9,0011,ICARD 01,BURKE, ,12, ,349410332.536442,89433.7758386629
25,10,0011,ALBEMARLE NUMBER 11,STANLY, ,84, ,106647340.501303,50539.3626468816
26,11,0012,ICARD 02,BURKE, ,12, ,545183131.060003,149637.703336305
27,12,0013,ICARD 03,BURKE, ,12, ,277837081.2922,94205.8190650107
28,13,0013,SOUTH ALBEMARLE,STANLY, ,84, ,648164153.91372,220942.340499058
29,57,0048,QUAKER MEADOWS 02,BURKE, ,12, ,350383063.660577,133068.94311546
30,495,07,SCHOOL OF THE ARTS,DURHAM, ,32, ,18598541.3865389,23238.8952914347
31,496,07,07,WAYNE, ,96, ,761760593.459219,126611.383288677
32,14,0014,EAST ALBEMARLE,STANLY, ,84, ,487959309.033497,126452.9555782
33,15,0014,ICARD 04,BURKE, ,12, ,287901977.342315,91570.1752303896
34,16,0015,ICARD 05,BURKE, ,12, ,141156775.327283,70568.9414236574
35,17,0015,BADIN,STANLY, ,84, ,498225430.203929,128951.109656415
36,18,0016,PALMERVILLE,STANLY, ,84, ,514852523.236736,153029.189235913
37,19,0017,NEW LONDON,STANLY, ,84, ,592545740.155023,125080.548913547
38,20,0018,JONAS RIDGE,BURKE, ,12, ,678310169.627754,121720.968413378
39,497,07,POPLAR,MITCHELL, ,61, ,504577861.338885,145837.998724133
40,21,0018,RICHFIELD,STANLY, ,84, ,465489052.52313,118621.590222683
41,24,002,SIXPOUND,WARREN, ,93, ,1087323879.2975,158980.979500618
