,pid,Ted Budd,Cheri Beasley,Shannon W. Bray,Matthew Hoh,Write-In (Miscellaneous),Michelle Estelle Lewis,County,prec_id,d_margin
0,ALAMANCE_01,1702,393,29,14,2,,ALAMANCE,01,-62.482100238663485
1,ALAMANCE_02,1872,423,29,12,1,,ALAMANCE,02,-63.13725490196078
2,ALAMANCE_035,1196,853,36,12,0,,ALAMANCE,035,-16.739873108833578
3,ALAMANCE_03C,934,679,21,15,0,,ALAMANCE,03C,-15.809051456912584
4,ALAMANCE_03N,895,770,13,10,0,,ALAMANCE,03N,-7.5075075075075075
5,ALAMANCE_03N2,191,348,4,5,1,,ALAMANCE,03N2,29.12801484230056
6,ALAMANCE_03S,1836,1812,45,21,2,,ALAMANCE,03S,-0.6578947368421052
7,ALAMANCE_03W,1072,717,32,17,2,,ALAMANCE,03W,-19.84348798211291
8,ALAMANCE_04,1766,477,32,12,2,,ALAMANCE,04,-57.467677218011595
9,ALAMANCE_05,1309,300,19,7,2,,ALAMANCE,05,-62.709757613424486
10,ALAMANCE_063,391,677,13,8,0,,ALAMANCE,063,26.779026217228463
11,ALAMANCE_064,1560,1106,38,19,0,,ALAMANCE,064,-17.029257314328582
12,ALAMANCE_06E,557,578,17,8,0,,ALAMANCE,06E,1.8502202643171806
13,ALAMANCE_06N,345,538,21,8,1,,ALAMANCE,06N,21.857304643261607
14,ALAMANCE_06S,929,669,27,11,2,,ALAMANCE,06S,-16.270337922403
15,ALAMANCE_06W,231,227,5,8,0,,ALAMANCE,06W,-0.8733624454148471
16,ALAMANCE_07,1511,437,22,13,2,,ALAMANCE,07,-55.13347022587269
17,ALAMANCE_08N,1013,609,21,12,1,,ALAMANCE,08N,-24.907521578298397
18,ALAMANCE_08S,623,259,17,6,0,,ALAMANCE,08S,-41.269841269841265
19,ALAMANCE_09N,734,628,21,7,1,,ALAMANCE,09N,-7.782672540381791
20,ALAMANCE_09S,1608,1054,51,21,2,,ALAMANCE,09S,-20.811419984973703
21,ALAMANCE_103,1193,778,28,9,2,,ALAMANCE,103,-21.055301877219684
22,ALAMANCE_104,429,720,15,16,3,,ALAMANCE,104,25.326370757180154
23,ALAMANCE_10N,1224,875,30,20,0,,ALAMANCE,10N,-16.626965221534064
24,ALAMANCE_10S1,1366,1713,43,26,3,,ALAMANCE,10S1,11.269892822344916
25,ALAMANCE_11,962,874,27,9,1,,ALAMANCE,11,-4.793028322440087
26,ALAMANCE_1210,378,431,10,8,1,,ALAMANCE,1210,6.551297898640297
27,ALAMANCE_124,496,478,17,7,0,,ALAMANCE,124,-1.8480492813141685
28,ALAMANCE_125,643,445,17,4,0,,ALAMANCE,125,-18.198529411764707
29,ALAMANCE_126,678,534,15,8,0,,ALAMANCE,126,-11.881188118811881
30,ALAMANCE_127,495,1305,21,14,1,,ALAMANCE,127,45.0
31,ALAMANCE_128,212,467,7,2,0,,ALAMANCE,128,37.55522827687776
32,ALAMANCE_129,645,373,10,3,0,,ALAMANCE,129,-26.719056974459725
33,ALAMANCE_12E,192,362,13,7,0,,ALAMANCE,12E,30.685920577617328
34,ALAMANCE_12N,195,1139,17,13,0,,ALAMANCE,12N,70.76461769115441
35,ALAMANCE_12S,138,261,7,3,0,,ALAMANCE,12S,30.82706766917293
36,ALAMANCE_12W,481,644,22,7,0,,ALAMANCE,12W,14.48888888888889
37,ALAMANCE_13,864,913,25,10,0,,ALAMANCE,13,2.7574563871693867
38,ALEXANDER_B1,1397,402,25,15,4,,ALEXANDER,B1,-55.30850472484714
39,ALEXANDER_B2,1664,448,26,13,2,,ALEXANDER,B2,-57.57575757575758
