Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000US37001020100,"Census Tract 201, Alamance County, North Carolina",36630,null,14164,null
1400000US37001020200,"Census Tract 202, Alamance County, North Carolina",28085,null,7263,null
1400000US37001020301,"Census Tract 203.01, Alamance County, North Carolina",34884,null,6276,null
1400000US37001020302,"Census Tract 203.02, Alamance County, North Carolina",44464,null,4853,null
1400000US37001020400,"Census Tract 204, Alamance County, North Carolina",34066,null,11021,null
1400000US37001020501,"Census Tract 205.01, Alamance County, North Carolina",55374,null,6136,null
1400000US37001020502,"Census Tract 205.02, Alamance County, North Carolina",33761,null,5852,null
1400000US37001020601,"Census Tract 206.01, Alamance County, North Carolina",91985,null,12294,null
1400000US37001020602,"Census Tract 206.02, Alamance County, North Carolina",61667,null,9367,null
1400000US37001020701,"Census Tract 207.01, Alamance County, North Carolina",57866,null,5439,null
1400000US37001020702,"Census Tract 207.02, Alamance County, North Carolina",46566,null,2641,null
1400000US37001020801,"Census Tract 208.01, Alamance County, North Carolina",52273,null,25758,null
1400000US37001020802,"Census Tract 208.02, Alamance County, North Carolina",35720,null,7697,null
1400000US37001020901,"Census Tract 209.01, Alamance County, North Carolina",54730,null,20348,null
1400000US37001020902,"Census Tract 209.02, Alamance County, North Carolina",73750,null,8579,null
1400000US37001021000,"Census Tract 210, Alamance County, North Carolina",29979,null,5983,null
1400000US37001021101,"Census Tract 211.01, Alamance County, North Carolina",48333,null,7418,null
1400000US37001021102,"Census Tract 211.02, Alamance County, North Carolina",44539,null,11138,null
1400000US37001021201,"Census Tract 212.01, Alamance County, North Carolina",39519,null,8349,null
1400000US37001021204,"Census Tract 212.04, Alamance County, North Carolina",66098,null,6509,null
1400000US37001021205,"Census Tract 212.05, Alamance County, North Carolina",72886,null,19380,null
1400000US37001021206,"Census Tract 212.06, Alamance County, North Carolina",60865,null,14787,null
1400000US37001021207,"Census Tract 212.07, Alamance County, North Carolina",49577,null,12534,null
1400000US37001021300,"Census Tract 213, Alamance County, North Carolina",65179,null,7454,null
1400000US37001021400,"Census Tract 214, Alamance County, North Carolina",88142,null,7961,null
1400000US37001021500,"Census Tract 215, Alamance County, North Carolina",72438,null,11985,null
1400000US37001021600,"Census Tract 216, Alamance County, North Carolina",65036,null,16594,null
1400000US37001021701,"Census Tract 217.01, Alamance County, North Carolina",81250,null,21899,null
1400000US37001021702,"Census Tract 217.02, Alamance County, North Carolina",69478,null,16292,null
1400000US37001021703,"Census Tract 217.03, Alamance County, North Carolina",75532,null,17008,null
1400000US37001021801,"Census Tract 218.01, Alamance County, North Carolina",69819,null,3059,null
1400000US37001021802,"Census Tract 218.02, Alamance County, North Carolina",60000,null,19643,null
1400000US37001021803,"Census Tract 218.03, Alamance County, North Carolina",45431,null,13396,null
1400000US37001021901,"Census Tract 219.01, Alamance County, North Carolina",77151,null,10739,null
1400000US37001021902,"Census Tract 219.02, Alamance County, North Carolina",60853,null,7511,null
1400000US37001022001,"Census Tract 220.01, Alamance County, North Carolina",82228,null,20723,null
1400000US37001022002,"Census Tract 220.02, Alamance County, North Carolina",49799,null,6054,null
1400000US37003040100,"Census Tract 401, Alexander County, North Carolina",49313,null,14250,null
1400000US37003040200,"Census Tract 402, Alexander County, North Carolina",50669,null,7443,null
1400000US37003040300,"Census Tract 403, Alexander County, North Carolina",51290,null,7101,null
1400000US37003040400,"Census Tract 404, Alexander County, North Carolina",48294,null,8993,null
1400000US37003040500,"Census Tract 405, Alexander County, North Carolina",63355,null,19717,null
1400000US37003040600,"Census Tract 406, Alexander County, North Carolina",59358,null,11286,null
