Country,Head of state,Maximum consecutive years in office,
Algeria,President,10,"Two 5-year terms, as per the 2020 constitution reform."
Angola,President,10,"Two 5-year terms, as per the 2021 constitution reform."
Benin,President,10,"Two 5-year terms, as per the 1956 constitution reform."
Botswana,President,10,"Two 5-year terms, as per the 1996 constitution reform."
Burkina Faso,President,10,"Two 5-year terms, as per the 2002 constitution reform."
Burundi,President,14,"Two 7-year terms, since 2018 constitutional reform"
Chad,President,,No set terms (Transitional)
Cameroon,President,,"Unlimited 7-year terms, since 2008 constitutional reform"
Cape Verde,President,10,"Two 5-year terms, third term only after 5 years"
Central African Republic,President,10,"Two 5-year terms, since 2015 constitutional reform"
Comoros,President,10,"Two 5-year terms, since 2019 constitutional reform"
Côte d’Ivoire,President,10,"Two 5-year terms, since 2000 constitutional referendum"
Democratic Republic of the Congo,President,10,"Two 5-year terms, since 2005 constitutional referendum"
Republic of the Congo,President,15,"Three 5-year terms, since 2015 constitutional referendum"
Djibouti,President,,"Unlimited 5-year terms, since 2010 constitutional reform"
Egypt,President,12,"Two 6-year terms, since 2019 constitutional referendum"
Equatorial Guinea,President,14,"Two 7-year terms, since 2011 constitutional reform"
Ethiopia,President,12,"Two 6-year terms, since 1987 constitutional reform"
Eritrea,President,10,"Two 5-Year terms, since 1993 constitutional reform"
Gabon,President,,"Unlimited 7-year terms, since 1991 constitutional reform"
Ghana,President,8,"Two 4-year terms, since 1992 constitutional referendum"
Gambia,President,,"Unlimited 5-year terms, since 1996 constitutional reform"
Guinea,President,,No set terms (Transitional)
Guinea-Bissau,President,10,"Two 5-year terms, as per the 1996 constitution reform."
Kenya,President,10,"Two 5-year terms, since 2010 Constitution (except after succeeding to the 
Presidency and serving for more than two and a half years, in which case 
only one subsequent five-year term is permitted)"
Lesotho,King,,No set terms (hereditary succession)
Liberia,President,12,"Two 6-year terms, since 1986 constitutional referendum"
Libya,Presidential Council,,No set terms (Transitional)
Madagascar,President,10,"Two 5-year terms, since 1992 constitutional referendum"
Malawi,President,10,"Two 5-year terms, since 1995 constitutional referendum"
Mali,President,10,"Two 5-year terms, since 1992 constitutional referendum"
Mauritania,President,10,"Two 5-year terms, since 1991 constitutional referendum"
Mauritius,President,,"Unlimited 5-year terms, since 1991 constitutional reform"
